"NAM"	"DAT"	"PERIOD"	"ӘАОЖ(каталог бойынша)"	"LӘАОЖ(каталог бойынша)"	"ОЖА"	"LОЖА"	"VAL"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2011 г."	"201103"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"9.2"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2011 г."	"201106"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"9.5"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2015 г."	"201503"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2015 г."	"201506"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.6"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2015 г."	"201509"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.3"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2015 г."	"201512"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.1"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2016 г."	"201606"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.5"
"Share of the population with incomes below the subsistence level()"	"3 квартал 2016 г."	"201609"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.4"
"Share of the population with incomes below the subsistence level()"	"4 квартал 2016 г."	"201612"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.0"
"Share of the population with incomes below the subsistence level()"	"1 квартал 2014 г."	"201403"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"5.0"
"Share of the population with incomes below the subsistence level()"	"2 квартал 2014 г."	"201406"	"REPUBLIC OF KAZAKHSTAN"	"0"	"countryside"	"0"	"4.9"
